"timestamp","url","url_type","stage","reason","detail"
"2026-04-22 19:59:08","http://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx","web","llm_parsing","LLM returned malformed JSON after all retries","LLM failed to return valid JSON after 3 attempts for http://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx."
"2026-04-22 20:11:19","http://anaheim.net/936/Energy-Rebates-Incentives","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-22 20:11:50","http://caec.coop/member-benefits-services/heat-pumps/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-22 20:18:41","http://longbeach.gov/sustainability/media-library/documents/urban-living/builidings-and-neighborhoods/greenbuildingpolicy/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 16:53:27","http://anaheim.net/936/Energy-Rebates-Incentives","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 16:53:55","http://caec.coop/member-benefits-services/heat-pumps/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 17:06:36","http://anaheim.net/936/Energy-Rebates-Incentives","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 17:06:40","http://caec.coop/member-benefits-services/heat-pumps/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 17:07:40","http://longbeach.gov/sustainability/media-library/documents/urban-living/builidings-and-neighborhoods/greenbuildingpolicy/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 17:21:36","http://caec.coop/member-benefits-services/heat-pumps/","web","scraping","No content extracted from web resource","scrape_url returned None"
"2026-04-23 17:23:32","http://longbeach.gov/sustainability/media-library/documents/urban-living/builidings-and-neighborhoods/greenbuildingpolicy/","web","scraping","No content extracted from web resource","scrape_url returned None"
